date,An American In Paris,isPartial
3/15/15,46,FALSE
3/22/15,29,FALSE
3/29/15,32,FALSE
4/5/15,30,FALSE
4/12/15,64,FALSE
4/19/15,43,FALSE
4/26/15,50,FALSE
5/3/15,35,FALSE
5/10/15,38,FALSE
5/17/15,35,FALSE
5/24/15,38,FALSE
5/31/15,45,FALSE
6/7/15,100,FALSE
6/14/15,30,FALSE
6/21/15,29,FALSE
6/28/15,32,FALSE
7/5/15,37,FALSE
7/12/15,30,FALSE
7/19/15,41,FALSE
7/26/15,34,FALSE
8/2/15,25,FALSE
8/9/15,24,FALSE
8/16/15,26,FALSE
8/23/15,32,FALSE
8/30/15,22,FALSE
9/6/15,26,FALSE
9/13/15,44,FALSE
9/20/15,30,FALSE
9/27/15,26,FALSE
10/4/15,33,FALSE
10/11/15,26,FALSE
10/18/15,31,FALSE
10/25/15,21,FALSE
11/1/15,27,FALSE
11/8/15,24,FALSE
11/15/15,25,FALSE
11/22/15,21,FALSE
11/29/15,24,FALSE
12/6/15,34,FALSE
12/13/15,26,FALSE
12/20/15,26,FALSE
12/27/15,31,FALSE
1/3/16,28,FALSE
1/10/16,26,FALSE
1/17/16,31,FALSE
1/24/16,28,FALSE
1/31/16,27,FALSE
2/7/16,22,FALSE
2/14/16,51,FALSE
2/21/16,26,FALSE
2/28/16,23,FALSE
3/6/16,31,FALSE
3/13/16,25,FALSE
3/20/16,21,FALSE
3/27/16,24,FALSE
4/3/16,49,FALSE
4/10/16,27,FALSE
4/17/16,24,FALSE
4/24/16,21,FALSE
5/1/16,24,FALSE
5/8/16,22,FALSE
5/15/16,26,FALSE
5/22/16,16,FALSE
5/29/16,24,FALSE
6/5/16,18,FALSE
6/12/16,33,FALSE
6/19/16,22,FALSE
6/26/16,20,FALSE
7/3/16,26,FALSE
7/10/16,22,FALSE
7/17/16,26,FALSE
7/24/16,22,FALSE
7/31/16,23,FALSE
8/7/16,35,FALSE
8/14/16,22,FALSE
