,Name,Year,Month,Day,Type
17912,A Chorus Line '06,2008,1,6,Musical
17914,Avenue Q,2008,1,6,Musical
17915,Chicago,2008,1,6,Musical
17917,Curtains,2008,1,6,Musical
17920,Dr. Seuss' How The Grinch Stole Christmas! 07,2008,1,6,Musical
17922,Hairspray,2008,1,6,Musical
17924,Jersey Boys,2008,1,6,Musical
17925,Legally Blonde,2008,1,6,Musical
17927,Mamma Mia!,2008,1,6,Musical
17928,Mary Poppins,2008,1,6,Musical
17929,Monty Python'S Spamalot,2008,1,6,Musical
17931,Rent,2008,1,6,Musical
17933,Spring Awakening,2008,1,6,Musical
17934,The 25Th Annual Putnam County Spelling Bee,2008,1,6,Musical
17939,The Lion King,2008,1,6,Musical
17940,The Little Mermaid,2008,1,6,Musical
17941,The Phantom Of The Opera,2008,1,6,Musical
17943,Wicked,2008,1,6,Musical
17944,Xanadu,2008,1,6,Musical
17947,A Chorus Line '06,2008,1,13,Musical
17949,Avenue Q,2008,1,13,Musical
17950,Chicago,2008,1,13,Musical
17952,Curtains,2008,1,13,Musical
17954,Hairspray,2008,1,13,Musical
17956,Jersey Boys,2008,1,13,Musical
17957,Legally Blonde,2008,1,13,Musical
17958,Mamma Mia!,2008,1,13,Musical
17959,Mary Poppins,2008,1,13,Musical
17960,Monty Python'S Spamalot,2008,1,13,Musical
17962,Rent,2008,1,13,Musical
17964,Spring Awakening,2008,1,13,Musical
17965,The 25Th Annual Putnam County Spelling Bee,2008,1,13,Musical
17970,The Lion King,2008,1,13,Musical
17971,The Little Mermaid,2008,1,13,Musical
17972,The Phantom Of The Opera,2008,1,13,Musical
17974,Wicked,2008,1,13,Musical
17975,Xanadu,2008,1,13,Musical
17978,A Chorus Line '06,2008,1,20,Musical
17980,Avenue Q,2008,1,20,Musical
17981,Chicago,2008,1,20,Musical
17983,Curtains,2008,1,20,Musical
17985,Hairspray,2008,1,20,Musical
17987,Jersey Boys,2008,1,20,Musical
17988,Legally Blonde,2008,1,20,Musical
17989,Mamma Mia!,2008,1,20,Musical
17990,Mary Poppins,2008,1,20,Musical
17991,Monty Python'S Spamalot,2008,1,20,Musical
17993,Rent,2008,1,20,Musical
17995,Spring Awakening,2008,1,20,Musical
17996,The 25Th Annual Putnam County Spelling Bee,2008,1,20,Musical
18001,The Lion King,2008,1,20,Musical
