,Name,Attendance,Capacity (%),Day,Gross,Gross Potential,Month,Performances,Weeks,Sentimentality,Category,Synopsis,First Week,Grand Mean,Tony Season,Best Actor,Best Actress,Best Director,Best Musical,Best Revival,Total Tonys,Unnamed: 0,Censored
0,13,4277.714285714285,52.357142857142854,17.142857142857142,255527.7142857143,32.857142857142854,10.857142857142858,6.857142857142857,14,0.11361666699999999,Neutral,"13 is an original musical with music and lyrics by Jason Robert Brown and book by Dan Elish and Robert Horn.
Following a move from New York City to small-town Indiana, young Evan Goldman grapples with his parents' divorce, prepares for his impending Bar Mitzvah, and navigates the complicated social circles of a new school. 13 is the only Broadway musical ever with a cast and band entirely made of teenagers. It originally began previews on September 16, 2008 and officially opened on October 5, 2008 at the Bernard B. Jacobs Theatre.
The Broadway production closed on January 4, 2009 after a total of 105 performances. The show was directed by Jeremy Sams and starred Graham Phillips as Evan Goldman and Allie Trimm as Patrice. It also starred Corey Snide as Evan on the matinee performances, Aaron Simon Gross as Archie Walker, Eric Nelsen as Brett Samson, and Delaney Moro as Kendra. The 2008 Broadway production is notable for being the professional debuts of Ariana Grande and Elizabeth Gillies who would later go on to star together in the Nickelodeon television series Victorious.",50.85714286,54.467391299999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,9 To 5,9946.5,79.45454545454545,16.363636363636363,692336.8636363636,50.54545454545455,6.2727272727272725,6.7272727272727275,22,0.151212121,Negative,"9 to 5: The Musical is a musical based on the 1980 movie of the same name, with music and lyrics by Dolly Parton. It features a book by Patricia Resnick, based on the screenplay by Resnick and Colin Higgins. The musical premiered in Los Angeles in September 2008, and opened on Broadway in April 2009. It received 15 Drama Desk Award nominations, the most received by a production in a single year, as well as four Tony Awards nominations. The Broadway production however was short-lived, closing in September 2009. A national tour of the US launched in 2010, followed by a UK premiere in 2012. It opened in the West End in February 2019.",23.85714286,25.10810811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2,A Chorus Line '06,6120.666666666667,71.54545454545455,15.0,402990.24242424243,50.72727272727273,4.393939393939394,8.0,33,0.080076705,Positive,"A Chorus Line is a concept musical with music by Marvin Hamlisch, lyrics by Edward Kleban and a book by James Kirkwood Jr. and Nicholas Dante. Centered on seventeen Broadway dancers auditioning for spots on a chorus line, the musical is set on the bare stage of a Broadway theatre during an audition for a musical. A Chorus Line provides a glimpse into the personalities of the performers and the choreographer as they describe the events that have shaped their lives and their decisions to become dancers.
Following several workshops and an Off-Broadway production, A Chorus Line opened at the Shubert Theatre on Broadway July 25, 1975, directed by Michael Bennett and co-choreographed by Bennett and Bob Avian. An unprecedented box office and critical hit, the musical received twelve Tony Award nominations and won nine, in addition to the 1976 Pulitzer Prize for Drama.
The original Broadway production ran for 6,137 performances, becoming the longest-running production in Broadway history until surpassed by Cats in 1997, and the longest-running Broadway musical originally produced in the US, until surpassed in 2011 by Chicago. It remains the seventh longest-running Broadway show ever. A Chorus Line's success has spawned many successful productions worldwide. It began a lengthy run in the West End in 1976 and was revived on Broadway in 2006, and in the West End in 2013.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
3,A Christmas Story,11715.42857142857,92.14285714285714,17.571428571428573,1167466.5714285714,75.57142857142857,11.714285714285714,7.285714285714286,7,0.119545455,Neutral,"A Christmas Story: The Musical is a musical version of the film A Christmas Story. The musical has music and lyrics written by Pasek & Paul and the book by Joseph Robinette. The musical takes place in the 1940s in Indiana and focuses on a child named Ralphie, who wants a Red Ryder BB Gun for Christmas.
After numerous regional productions, out of town tryouts and national tours, this version of the musical originally officially opened on Broadway in November 2012 at the Lunt Fontanne Theatre for a limited engagement that ran through December 2012.",3.142857143,7.162790697999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
4,A Gentleman'S Guide To Love And Murder,6389.646551724138,88.38793103448276,15.60344827586207,629180.6120689656,67.88793103448276,6.853448275862069,7.724137931034483,116,0.376559524,Positive,"A Gentleman's Guide to Love & Murder is a musical comedy, with the book and lyrics by Robert L. Freedman and the music and lyrics by Steven Lutvak. It is based on the 1907 novel Israel Rank: The Autobiography of a Criminal by Roy Horniman.  The show opened on Broadway at the Walter Kerr Theatre November 17, 2013, running until January 17, 2016. The Broadway production won four Tonys at the 68th Tony Awards in June 2014, including Best Musical.
The novel was also the source for the 1949 British film Kind Hearts and Coronets; however, after a lengthy legal battle, the infringement claim from the film's copyright holder was dismissed. A small production of the show was also performed in 2004 under the same name of the 1949 film.",7.714285714,7.307692307999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
5,A Little Night Music,6582.392857142857,89.03571428571429,16.160714285714285,689404.7678571428,76.71428571428571,6.732142857142857,7.589285714285714,56,-0.078544823,Neutral,"A Little Night Music is a musical with music and lyrics by  Stephen Sondheim and book by Hugh Wheeler. Inspired by the Ingmar Bergman film Smiles of a Summer Night, it involves the romantic lives of several couples. Its title is a literal English translation of the German name for Mozart's Serenade No. 13 for strings in G major, Eine kleine Nachtmusik. The musical includes the popular song ""Send In the Clowns"".
Since its original 1973 Broadway production, the musical has enjoyed professional productions in the West End, by opera companies, in a 2009 Broadway revival, and elsewhere, and it is a popular choice for regional groups. It was adapted for film in 1977, with Harold Prince directing and Elizabeth Taylor, Len Cariou, Lesley-Anne Down, and Diana Rigg starring.",57.14285714,31.23728814,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
6,A Night With Janis Joplin,4289.952380952381,73.38095238095238,15.19047619047619,344502.1904761905,53.42857142857143,8.095238095238095,6.666666666666667,21,0.28405303,Negative,"A Night with Janis Joplin is a Broadway musical that includes works of singer-songwriter Janis Joplin (1943–1970).  After 22 previews, it officially opened at the Lyceum Theatre on October 10, 2013, and closed in February, after 141 performances.The musical is presented as Janis Joplin, backed by a band of hippies, performing a concert in 1970, shortly before she in fact died of drug overdose, at age 27.  Among other reviews, The New York Post characterized it as sanitizing Janis Joplin and serving as a vehicle for ""power-piped"" Mary Bridget Davies to mostly ""stick to the music"".Its Broadway run was a $3.9 million production, and $650,000 was budgeted for an Off-Broadway run that was scheduled to open at the Gramercy Theatre.  The revival, however, was abruptly cancelled in April 2014, two days before it was to open.The show performed on tour, including in Pasadena, California.",31.0,23.92907801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0
7,A Tale Of Two Cities,6453.0,59.083333333333336,16.5,387958.5,39.916666666666664,9.5,5.0,12,0.028902116000000002,Positive,"A Tale of Two Cities is a musical with book, music and lyrics by Jill Santoriello based on the novel of the same name by Charles Dickens.
After tryouts at the Asolo Repertory Theatre in Sarasota, Florida, in October and November 2007, the show opened on Broadway on September 18, 2008, following previews from August 19 at the Al Hirschfeld Theatre.  The musical closed on November 9, 2008, after a run of 60 performances and 33 previews. The show received the 2009 Outer Critics Circle Award nomination for Outstanding New Musical for its Broadway run. James Barbour  received a 2009 Drama Desk Award nomination for his performance as Sydney Carton.",43.28571429,43.32051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0
8,After Midnight,6610.891891891892,81.54054054054055,15.324324324324325,573901.4054054054,58.891891891891895,5.864864864864865,7.378378378378378,37,-0.0625,Neutral,"After Midnight is a Broadway musical that premiered at the Brooks Atkinson Theatre in 2013. The revue is based on an earlier 2011 revue, titled Cotton Club Parade, which ran in concert at Encores! in 2011 and 2012.",21.0,22.08695652,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0
9,Aladdin,13589.418604651162,98.7984496124031,15.75968992248062,1475493.2403100776,96.34108527131782,6.263565891472868,7.813953488372093,129,0.047405302999999996,Positive,"Aladdin is a Broadway musical based on the 1992 Disney animated film of the same name with a book by Chad Beguelin, music by Alan Menken and lyrics by Howard Ashman, Tim Rice and Beguelin. It resurrects three songs written by Menken and Ashman for the film but not used, and adds four songs written by Menken and Beguelin.
Set in the fictional Arabian city of Agrabah, the story follows the familiar tale of a poor young man who is granted three wishes by a genie in a lamp, which he uses to woo a princess and to thwart the sultan's evil Grand Vizier.
Aladdin premiered at the 5th Avenue Theatre in Seattle in 2011. After several regional and international productions in 2012, the musical was given a Toronto tryout in 2013. The Broadway production opened at the New Amsterdam Theatre on March 20, 2014 and has been produced globally since.

",24.14285714,23.52713178,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
