,Name,Censored
0,13,1
1,9 To 5,1
2,A Chorus Line '06,1
3,A Christmas Story,1
4,A Gentleman'S Guide To Love And Murder,1
5,A Little Night Music,1
6,A Night With Janis Joplin,1
7,A Tale Of Two Cities,1
8,After Midnight,1
9,Aladdin,0
10,Allegiance,1
11,Amazing Grace,1
12,American Idiot,1
13,American Psycho,0
14,An American In Paris,1
15,Annie '12,1
16,Anything Goes '11,1
17,Avenue Q,1
18,Baby It'S You!,1
19,Beautiful: The Carole King Musical,0
20,Big Fish,1
21,Billy Elliot: The Musical,1
22,Bloody Bloody Andrew Jackson,1
23,Bonnie And Clyde,1
24,Bright Star,0
25,Bring It On The Musical,1
26,Bullets Over Broadway,1
27,Burn The Floor,1
28,Bye Bye Birdie,1
29,Cabaret (musical),1
30,Catch Me If You Can,1
31,Cats 2016,0
32,Chaplin,1
33,Chicago,0
34,Cinderella,1
35,Come Fly Away,1
36,Cry Baby,1
37,Curtains,1
38,Dames At Sea,1
39,Disaster!,1
40,Doctor Zhivago,1
41,Dr. Seuss' How The Grinch Stole Christmas! 07,1
42,Elf,1
43,Elf '12,1
44,Everyday Rapture,1
45,Evita,1
46,Fiddler On The Roof 2015,0
47,Finding Neverland,0
48,First Date,1
49,Follies '11,1
50,Fun Home,0
51,Ghost,1
52,Gigi,1
53,Glory Days,1
54,Godspell,1
55,Gypsy '08,1
56,Hair,1
57,Hairspray,1
58,Hamilton (musical),0
59,Hands On A Hardbody,1
60,Hedwig And The Angry Inch,1
61,Holler If Ya Hear Me,1
62,Honeymoon In Vegas,1
63,How To Succeed In Business Without Really Trying '11,1
64,If/Then,1
65,In The Heights,1
66,It Shoulda Been You,1
67,Jekyll & Hyde '13,1
68,Jersey Boys,0
69,Jesus Christ Superstar '12,1
70,Kinky Boots,0
71,La Cage Aux Folles '10,1
72,Leap Of Faith,1
73,Legally Blonde,1
74,Lysistrata Jones,1
75,Mamma Mia!,1
76,Mary Poppins,1
77,Matilda,0
78,Memphis,1
79,Million Dollar Quartet,1
80,Monty Python'S Spamalot,1
81,Motown The Musical 2016,1
82,Newsies,1
83,Next To Normal,1
84,Nice Work If You Can Get It,1
85,On A Clear Day You Can See Forever,1
86,On the Town (musical),1
87,On The Twentieth Century,1
88,On Your Feet!,0
89,Once,1
90,Pal Joey,1
91,Paramour,0
92,Passing Strange,1
93,Pippin,1
94,Porgy And Bess '11,1
95,Priscilla Queen Of The Desert,1
96,"Promises, Promises",1
97,Ragtime '09,1
98,Rain: A Tribute To The Beatles On Broadway,1
99,Rent,1
100,Rock Of Ages,1
101,Rocky,1
102,Scandalous,1
103,School Of Rock,0
104,She Loves Me 2016,1
105,Shrek The Musical,1
106,Shuffle Along,0
107,Side Show 2014,1
108,Sister Act,1
109,Something Rotten!,0
110,Soul Doctor,1
111,South Pacific,1
112,Spider-Man Turn Off The Dark,1
113,Spring Awakening,1
114,Sunday In The Park With George '08,0
115,The 25Th Annual Putnam County Spelling Bee,1
116,The Addams Family,1
117,The Book Of Mormon,0
118,The Bridges Of Madison County,1
119,The Color Purple 2015,0
120,The King And I 2015,1
121,The Last Ship,1
122,The Lion King,0
123,The Little Mermaid,1
124,The Mystery Of Edwin Drood '12,1
125,The People in the Picture,1
126,The Phantom Of The Opera,0
127,The Scottsboro Boys,1
128,The Story Of My Life,1
129,The Visit 2015,1
130,Tuck Everlasting,0
131,Waitress,0
132,West Side Story,1
133,Wicked,0
134,Women On The Verge Of A Nervous Breakdown,1
135,Wonderland,1
136,Xanadu,1
