,Best Actor,Best Actress,Best Director,Best Musical,Best Revival,Name,total,Weeks
0,0,0,0,0,0,13,0,2.63905733
1,0,0,0,0,0,9 To 5,0,3.091042453
2,0,0,0,0,0,A Catered Affair,0,
3,0,0,0,0,0,A Chorus Line '06,0,3.496507561
4,0,0,0,0,0,A Christmas Story,0,1.945910149
5,0,0,0,0,0,A Gentleman's Guide To Love And Murder,0,
6,0,1,0,0,0,A Little Night Music,1,4.025351691
7,0,0,0,0,0,A Night With Janis Joplin,0,3.044522438
8,0,0,0,0,0,A Tale Of Two Cities,0,2.48490665
9,0,0,0,0,0,After Midnight,0,3.610917913
10,0,0,0,0,0,Aladdin,0,4.859812404
11,0,0,0,0,0,All About Me,0,
12,0,0,0,0,0,Allegiance,0,2.944438979
13,0,0,0,0,0,Amazing Grace,0,2.890371758
14,0,0,0,0,0,American Idiot,0,4.043051268
15,0,0,0,0,0,American Psycho,0,2.397895273
16,0,0,0,0,0,An American In Paris,0,4.317488114
17,0,0,0,0,0,Annie '12,0,4.189654742
18,0,1,0,0,1,Anything Goes,2,
19,0,0,0,1,0,Avenue Q,1,4.48863637
20,0,0,0,0,0,Baby It'S You!,0,3.17805383
21,0,1,0,0,0,Beautiful: The Carole King Musical,1,4.96284463
22,0,0,0,0,0,Big Fish,0,2.833213344
23,0,0,0,0,0,Billy Elliot: The Musical,0,5.141663557
24,0,0,0,0,0,Bloody Bloody Andrew Jackson,0,2.708050201
25,0,0,0,0,0,Bonnie And Clyde,0,2.197224577
26,0,0,0,0,0,Bright Star,0,2.890371758
27,0,0,0,0,0,Bring It On The Musical,0,3.218875825
28,0,0,0,0,0,Bullets Over Broadway,0,3.17805383
29,0,0,0,0,0,Burn The Floor,0,3.218875825
30,0,0,0,0,0,Bye Bye Birdie,0,2.995732274
31,1,1,0,0,1,Cabaret,3,
32,1,0,0,0,0,Catch Me If You Can,1,3.258096538
33,0,0,0,0,0,Cats 2016,0,1.609437912
34,0,0,0,0,0,Chaplin,0,2.995732274
35,1,1,1,0,1,Chicago,4,6.109247583
36,0,0,0,0,0,Cinderella,0,4.624972813
37,0,0,0,0,0,Come Fly Away,0,3.295836866
38,0,0,0,0,0,Cry Baby,0,2.708050201
39,1,0,0,0,0,Curtains,1,3.258096538
40,0,0,0,0,0,Dames At Sea,0,2.708050201
41,0,0,0,0,0,Disaster!,0,2.564949357
42,0,0,0,0,0,Doctor Zhivago,0,1.945910149
43,0,0,0,0,0,Dr. Seuss' How The Grinch Stole Christmas! 07,0,
44,0,0,0,0,0,Elf,0,2.197224577
45,0,0,0,0,0,Elf '12,0,2.197224577
46,0,0,0,0,0,Everyday Rapture,0,2.48490665
47,0,0,0,0,0,Evita,0,3.828641396
48,0,0,0,0,0,Fela!,0,
49,0,0,0,0,0,Fiddler On The Roof 2015,0,3.663561646
50,0,0,0,0,0,Finding Neverland,0,4.317488114
51,0,0,0,0,0,Finian's Rainbow,0,
52,0,0,0,0,0,First Date,0,3.258096538
53,0,0,0,0,0,Follies '11,0,3.218875825
54,1,0,1,1,0,Fun Home,3,4.290459441
55,0,0,0,0,0,Ghost,0,3.135494216
56,0,0,0,0,0,Gigi,0,2.63905733
57,0,0,0,0,0,Glory Days,0,1.098612289
58,0,0,0,0,0,Godspell,0,3.610917913
59,0,0,0,0,0,Grease 07,0,3.970291914
60,0,0,0,0,0,Guys And Dolls,0,
61,0,0,0,0,0,Gypsy '08,0,3.80666249
62,0,0,0,0,1,Hair,1,4.234106505
63,0,0,0,0,1,Hair,1,4.234106505
64,1,1,1,1,0,Hairspray,4,3.970291914
65,0,0,0,0,0,Hamilton (musical),0,4.043051268
66,0,0,0,0,0,Hands On A Hardbody,0,2.079441542
67,0,0,0,0,0,Hedwig And The Angry Inch,0,4.343805422
68,0,0,0,0,0,Holler If Ya Hear Me,0,1.945910149
69,0,0,0,0,0,Honeymoon In Vegas,0,2.995732274
70,0,0,0,0,0,How To Succeed In Business Without Really Trying '11,0,4.17438727
71,0,0,0,0,0,If/Then,0,3.988984047
72,0,0,0,0,0,In The Heights,0,5.023880521
73,0,0,0,0,0,Irving Berlin'S White Christmas,0,
74,0,0,0,0,0,Irving Berlin'S White Christmas '09,0,
75,0,0,0,0,0,It Shoulda Been You,0,3.044522438
76,0,0,0,0,0,Jekyll & Hyde '13,0,1.791759469
77,1,0,0,1,0,Jersey Boys,2,6.109247583
78,0,0,0,0,0,Jesus Christ Superstar '12,0,2.890371758
79,1,0,0,1,0,Kinky Boots,2,5.198497031
80,1,0,1,0,1,La Cage aux Folles,3,
81,0,0,0,0,0,Leap Of Faith,0,1.791759469
82,0,0,0,0,0,Legally Blonde,0,3.737669618
83,0,0,0,0,0,Les Miserables (musical),0,
84,0,0,0,0,0,Lysistrata Jones,0,2.197224577
85,0,0,0,0,0,Mamma Mia!,0,5.993961427
86,0,0,0,0,0,Mary Poppins,0,5.598421959
87,0,0,0,0,0,Matilda,0,5.192956851
88,0,0,0,1,0,Memphis,1,5.010635294
89,0,0,0,0,0,Million Dollar Quartet,0,4.189654742
90,0,1,1,1,0,Monty Python's Spamalot,3,
91,0,0,0,0,0,Motown The Musical,0,4.574710979
92,0,0,0,0,0,Motown The Musical 2016,0,
93,0,0,0,0,0,Newsies,0,4.852030264
94,0,0,0,0,0,Next To Normal,0,4.553876892
95,0,0,0,0,0,Nice Work If You Can Get It,0,4.158883083
96,0,0,0,0,0,On A Clear Day You Can See Forever,0,2.48490665
97,0,0,0,0,0,On The Town,0,0
98,0,0,0,0,0,On The Twentieth Century,0,3.135494216
99,0,0,0,0,0,On Your Feet!,0,3.80666249
100,0,0,0,0,0,On the Town (musical),0,
101,1,0,1,1,0,Once,3,5.003946306
102,0,0,0,0,0,Pal Joey,0,2.772588722
103,0,0,0,0,0,Paramour,0,2.890371758
104,0,0,0,0,0,Passing Strange,0,3.17805383
105,0,1,1,0,1,Pippin,3,4.543294782
106,0,0,0,0,0,Porgy And Bess '11,0,3.713572067
107,0,0,0,0,0,Priscilla Queen Of The Desert,0,4.234106505
108,0,0,0,0,0,"Promises, Promises",0,3.713572067
109,0,0,0,0,0,Ragtime '09,0,2.48490665
110,0,0,0,0,0,Rain: A Tribute To The Beatles On Broadway,0,3.63758616
111,0,0,0,1,0,Rent,1,3.583518938
112,0,0,0,0,0,Rock Of Ages,0,5.686975356
113,0,0,0,0,0,Rocky,0,3.295836866
114,0,0,0,0,0,Scandalous,0,2.197224577
115,0,0,0,0,0,School Of Rock,0,3.688879454
116,0,0,0,0,0,She Loves Me 2016,0,3.044522438
117,0,0,0,0,0,Shrek The Musical,0,4.110873864
118,0,0,0,0,0,Shuffle Along,0,2.944438979
119,0,0,0,0,0,Side Show 2014,0,2.302585093
120,0,0,0,0,0,Sister Act,0,4.317488114
121,0,0,0,0,0,Something Rotten!,0,4.290459441
122,0,0,0,0,0,Sondheim On Sondheim,0,
123,0,0,0,0,0,Soul Doctor,0,2.564949357
124,1,0,1,0,1,South Pacific,3,4.86753445
125,0,0,0,0,0,Spider-Man Turn Off The Dark,0,5.075173815
126,0,0,1,1,0,Spring Awakening,2,4.317488114
127,0,0,0,0,0,Sunday In The Park With George '08,0,3.135494216
128,0,0,0,0,0,The 25Th Annual Putnam County Spelling Bee,0,1.098612289
129,0,0,0,0,0,The Addams Family,0,4.553876892
130,0,0,0,0,0,The Book Of Mormon,0,5.655991811
131,0,0,0,0,0,The Bridges Of Madison County,0,2.890371758
132,0,1,0,0,0,The Color Purple,1,
133,0,0,0,0,0,The Color Purple 2015,0,3.688879454
134,0,1,0,0,1,The King and I,2,
135,0,0,0,0,0,The Last Ship,0,2.833213344
136,0,0,1,1,0,The Lion King,2,6.109247583
137,0,0,0,0,0,The Little Mermaid,0,4.465908119
138,0,0,0,0,0,The Mystery Of Edwin Drood '12,0,3.044522438
139,0,0,0,0,0,The People in the Picture,0,2.48490665
140,0,0,0,0,0,The Phantom Of The Opera,0,6.109247583
141,0,0,0,0,0,The Scottsboro Boys,0,2.302585093
142,0,0,0,0,0,The Story Of My Life,0,1.098612289
143,0,0,0,0,0,The Visit 2015,0,2.48490665
144,0,0,0,0,0,Title Of Show,0,
145,0,0,0,0,0,Tuck Everlasting,0,2.197224577
146,0,0,0,0,0,Violet,0,
147,0,0,0,0,0,Waitress,0,3.044522438
148,0,0,0,0,0,West Side Story,0,4.574710979
149,0,1,0,0,0,Wicked,1,6.109247583
150,0,0,0,0,0,Women On The Verge Of A Nervous Breakdown,0,2.564949357
151,0,0,0,0,0,Wonderland,0,2.079441542
152,0,0,0,0,0,Xanadu,0,3.663561646
153,0,0,0,0,0,Young Frankenstein,0,
