,Name,Weeks,Sentimentality,selfscore,,,
0,13,14,0.113616667,Informational,,"Things that add to positivity: longevity mentions in a Esteemed way, world tours, acclaim, wins, ",
1,9 To 5,22,0.151212121,Negative,,,
3,A Chorus Line '06,33,0.080076705,Esteemed,,,
4,A Christmas Story,7,0.119545455,Informational,,,"*Informational=Informative, just straight shooting"
5,A Gentleman'S Guide To Love And Murder,116,0.376559524,Esteemed,,,*Esteemed=Esteemed
6,A Little Night Music,56,-0.078544823,Informational,,,
7,A Night With Janis Joplin,21,0.28405303,Negative,,,
8,A Tale Of Two Cities,12,0.028902116,Esteemed,,,* count how many there are after the weird cases are removed
9,After Midnight,37,-0.0625,Informational,,,* Comment out the chunk in the code that exports data into a folder!!!
10,Aladdin,129,0.047405303,Esteemed,,,*Figure out why the bottom shows don't show Google Headline sentiment scores
12,Allegiance,19,0.009981061,Informational,,,
13,Amazing Grace,18,0.303702381,Informational,,,
14,American Idiot,57,-0.118214286,Esteemed,,,
15,American Psycho,11,0.043472944,Informational,,,
16,An American In Paris,75,0.070212121,Esteemed,,,
17,Annie '12,66,0.041719697,Esteemed,,,
18,Anything Goes '11,70,0.041746032,Esteemed,,,
19,Avenue Q,89,0.232580808,Esteemed,,,
20,Baby It'S You!,24,-0.039458333,Informational,,,
21,Beautiful: The Carole King Musical,143,0.27125,Esteemed,,,
22,Big Fish,17,0.114752273,Informational,,,
23,Billy Elliot: The Musical,171,0.122930272,Esteemed,,,
24,Bloody Bloody Andrew Jackson,15,-0.488035714,Informational,,,
25,Bonnie And Clyde,9,-0.005772006,Negative,,,
26,Bright Star,18,0.297840909,Informational,,,
27,Bring It On The Musical,25,0.172612674,Esteemed,,,
28,Bullets Over Broadway,24,0.058541667,Informational,,,
29,Burn The Floor,25,-0.01546158,Esteemed,,,
30,Bye Bye Birdie,20,0.141566667,Esteemed,,,
31,Cabaret (musical),54,0.180041667,Esteemed,,,
32,Catch Me If You Can,26,0.127128788,Esteemed,,,
33,Cats 2016,5,0.083484848,Esteemed,,,
34,Chaplin,20,0.03825,Informational,,,
35,Chicago,450,0.034444444,Esteemed,,,
36,Cinderella,102,0.129375,Informational,,,
37,Come Fly Away,27,0.40110101,Esteemed,,,
38,Cry Baby,15,0.109823232,Informational,,,
39,Curtains,26,0.103857143,Informational,,,
40,Dames At Sea,15,0.046590909,Esteemed,,,
41,Disaster!,13,-0.028083333,Informational,,,
42,Doctor Zhivago,7,0.17,Informational,,,
44,Elf,9,0.005648148,Informational,,,
45,Elf '12,9,0.065563492,Informational,,,
46,Everyday Rapture,12,-0.081356061,Informational,,,
47,Evita,46,0.073944805,Esteemed,,,
49,Fiddler On The Roof 2015,39,0.189166667,Esteemed,,,
50,Finding Neverland,75,0.113257576,Informational,,,
52,First Date,26,0.210019661,Informational,,,
53,Follies '11,25,0.016573593,Esteemed,,,
54,Fun Home,73,0.269715278,Esteemed,,,
55,Ghost,23,0.032244318,Esteemed,,,
56,Gigi,14,0.295239899,Negative,,,
57,Glory Days,3,0.155375,Negative,,,
58,Godspell,37,0.050775558,Esteemed,,,
59,Grease 07,53,0.081643939,Esteemed,,,
61,Gypsy '08,45,0.247276515,Esteemed,,,
62,Hair,69,-0.026378788,Esteemed,,,
64,Hairspray,53,0.124136508,Esteemed,,,
65,Hamilton (musical),57,0.10875,Esteemed,,,
66,Hands On A Hardbody,8,0.070501894,Informational,,,
67,Hedwig And The Angry Inch,77,-0.100780303,Esteemed,,,
68,Holler If Ya Hear Me,7,0.074166667,Informational,,,
69,Honeymoon In Vegas,20,0.015841751,Informational,,,
70,How To Succeed In Business Without Really Trying '11,65,0.16945,Esteemed,,,
71,If/Then,54,0.10780303,Esteemed,,,
72,In The Heights,152,0.222840067,Esteemed,,,
75,It Shoulda Been You,21,0.045340909,Informational,,,
76,Jekyll & Hyde '13,6,0.274744108,Esteemed,,,
77,Jersey Boys,450,0.052714646,Esteemed,,,
78,Jesus Christ Superstar '12,18,0.020432692,Informational,,,
79,Kinky Boots,181,0.20894697,Esteemed,,,
80,La Cage Aux Folles '10,56,0.153142136,Esteemed,,,
81,Leap Of Faith,6,0.145873737,Informational,,,
82,Legally Blonde,42,0.113930556,Negative,,,
85,Lysistrata Jones,9,0.1,Informational,,,
86,Mamma Mia!,401,0.16875,Esteemed,,,
87,Mary Poppins,270,0.340416667,Esteemed,,,
88,Matilda,180,-0.068333333,Esteemed,,,
89,Memphis,150,0.004578283,Esteemed,,,
90,Million Dollar Quartet,66,0.173645833,Informational,,,
91,Monty Python'S Spamalot,54,0.10010101,Esteemed,,,
92,Motown The Musical,97,0.284065657,Informational,,,
94,Newsies,128,0.194629149,Informational,,,
95,Next To Normal,95,0.108583333,Esteemed,,,
96,Nice Work If You Can Get It,64,0.271375,Informational,,,
97,On A Clear Day You Can See Forever,12,0.1135,Esteemed,,,
98,On The Town,1,0.118570437,Esteemed,,,
99,On The Twentieth Century,23,0.049803241,Esteemed,,,
100,On Your Feet!,45,0.219147727,Esteemed,,,
102,Once,149,-0.001876263,Esteemed,,,
103,Pal Joey,16,0.240227273,Esteemed,,,
104,Paramour,18,0.05,Informational,,,
105,Passing Strange,24,-0.03942735,Esteemed,,,
106,Pippin,94,0.192555556,Esteemed,,,
107,Porgy And Bess '11,41,0.145833333,Esteemed,,,
108,Priscilla Queen Of The Desert,69,0,Informational,,,
109,"Promises, Promises",41,0,Esteemed,,,
110,Ragtime '09,12,0,Informational,,,
111,Rain: A Tribute To The Beatles On Broadway,38,0,Informational,,,
112,Rent,36,0,Informational,,,
113,Rock Of Ages,295,0,Informational,,,
114,Rocky,27,0,Informational,,,
115,Scandalous,9,0,Informational,,,
116,School Of Rock,40,0,Informational,,,
117,She Loves Me 2016,21,0,Informational,,,
118,Shrek The Musical,61,0,Informational,,,
119,Shuffle Along,19,0,Esteemed,,,
120,Side Show 2014,10,0,Negative,,,
121,Sister Act,75,0,Informational,,,
122,Something Rotten!,73,0,Informational,,,
124,Soul Doctor,13,0,Informational,,,
125,South Pacific,130,0,Esteemed,,,
126,Spider-Man Turn Off The Dark,160,0,Negative,,,
127,Spring Awakening,75,0,Esteemed,,,
